"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"2240",6078382,"t","Rainier Valley",47.5699851771433,-122.297272190932,"House","Private room",2,1,1,1,55,0,0,1,365,17,"f",99
"2241",7585688,"f","Rainier Valley",47.5750240000872,-122.297305655939,"Apartment","Private room",3,1,1,1,65,0,0,1,279,22,"f",91
"2242",3120652,"f","Rainier Valley",47.5631801602667,-122.284923130748,"House","Entire home/apt",5,1,2,2,124,100,75,2,89,45,"f",91
"2243",4922836,"f","Rainier Valley",47.5650477966554,-122.292859339229,"House","Private room",2,1,1,1,70,0,10,2,365,32,"f",95
"2244",1433440,"f","Rainier Valley",47.5649176891385,-122.292638593442,"House","Private room",2,1,1,1,65,200,25,1,223,14,"f",88
"2245",2980762,"f","Rainier Valley",47.5472378045665,-122.273122600981,"House","Private room",2,1,1,1,65,0,25,2,89,22,"f",92
"2246",1733747,"t","Rainier Valley",47.5633556933028,-122.298219754194,"House","Private room",2,1.5,1,1,72,0,15,1,359,41,"f",97
"2247",1455269,"t","Rainier Valley",47.5679147387307,-122.290735631093,"House","Entire home/apt",6,1,3,4,115,200,25,4,78,88,"f",97
"2248",1457330,"f","Rainier Valley",47.5679107419492,-122.293388424323,"House","Entire home/apt",6,2,3,3,220,150,90,4,118,4,"f",95
"2249",7420488,"t","Rainier Valley",47.5466995762533,-122.278029651648,"House","Private room",1,1,1,1,45,150,25,1,265,8,"f",100
"2250",8902887,"f","Rainier Valley",47.5685623451845,-122.290538895946,"House","Entire home/apt",3,1,1,1,90,0,25,1,268,6,"f",97
"2251",5175464,"f","Rainier Valley",47.5577826910658,-122.282030568972,"Apartment","Entire home/apt",2,1,0,1,90,100,20,0,354,16,"t",86
"2252",7411863,"f","Rainier Valley",47.5613588696051,-122.293909406376,"House","Private room",1,2.5,1,1,25,0,10,0,312,40,"f",92
"2253",2856806,"f","Rainier Valley",47.5657540777269,-122.290416380073,"House","Entire home/apt",6,2.5,3,2,175,0,0,1,209,3,"f",93
"2254",693956,"f","Rainier Valley",47.5625275097221,-122.292439795055,"House","Entire home/apt",6,2.5,3,2,150,0,0,1,16,1,"f",97
"2255",5682316,"t","Rainier Valley",47.5636106610627,-122.289051924749,"House","Entire home/apt",3,1,1,2,85,150,50,2,87,36,"f",98
"2256",8597800,"f","Rainier Valley",47.5548729594885,-122.277832982935,"House","Private room",4,1.5,1,2,49,0,10,2,21,3,"f",100
"2257",4707171,"f","Rainier Valley",47.557423446503,-122.281268738871,"Apartment","Entire home/apt",7,1,2,3,110,0,60,4,312,53,"f",92
"2258",9138392,"f","Rainier Valley",47.55278255173,-122.286093791116,"House","Entire home/apt",4,1,2,2,59,250,25,2,45,0,"f",96
"2259",7417852,"t","Rainier Valley",47.5484724446475,-122.278428019614,"House","Private room",2,1,1,1,65,150,25,1,362,11,"f",96
"2260",9597947,"f","Rainier Valley",47.557774010332,-122.28405186229,"Apartment","Private room",2,2,1,1,70,0,0,1,365,0,"f",96
"2261",7262142,"t","Rainier Valley",47.5546341485356,-122.274624633049,"Apartment","Entire home/apt",2,1,1,1,65,250,40,1,354,27,"f",99
"2262",7615170,"f","Rainier Valley",47.5594517544707,-122.283633664657,"Apartment","Private room",2,1,1,1,85,250,85,1,179,2,"f",100
"2263",609610,"f","Rainier Valley",47.5696153458462,-122.293955301503,"House","Entire home/apt",2,1,1,2,90,0,0,2,320,15,"f",95
"2264",8326413,"f","Rainier Valley",47.561838253124,-122.289083852254,"House","Private room",2,1,1,1,70,0,0,1,301,9,"f",96
"2265",4833820,"f","Rainier Valley",47.5521044016943,-122.281028607392,"House","Entire home/apt",4,1.5,2,2,175,0,150,3,331,0,"f",96
"2266",7480196,"f","Rainier Valley",47.5618520041956,-122.278564736336,"House","Entire home/apt",6,1,3,4,199,250,106,4,111,7,"f",94
"2267",8774504,"f","Rainier Valley",47.5566731478826,-122.282305454927,"House","Entire home/apt",8,2,3,5,109,0,60,4,344,4,"t",100
"2268",8627921,"f","Rainier Valley",47.5608590279057,-122.275967855645,"House","Entire home/apt",4,1,1,2,70,0,0,2,353,13,"t",98
"2269",788146,"f","Rainier Valley",47.5514219195817,-122.280874705441,"House","Private room",2,1.5,1,1,58,0,20,1,365,24,"f",97
"2270",9217446,"f","Rainier Valley",47.5519523237381,-122.287821897754,"House","Private room",2,1,1,1,35,95,15,1,59,4,"f",100
"2271",2016613,"f","Rainier Valley",47.5643264823637,-122.288292037244,"House","Entire home/apt",8,3,4,5,300,250,0,8,340,16,"f",94
"2272",2695493,"t","Rainier Valley",47.5558580987567,-122.272921144154,"House","Entire home/apt",2,1,1,1,95,250,60,1,248,18,"f",98
"2273",9063355,"f","Rainier Valley",47.5524121173381,-122.274180476903,"House","Private room",1,1,1,1,50,0,0,1,89,0,"f",96
"2274",7922663,"f","Rainier Valley",47.5890074276511,-122.297433371534,"House","Private room",2,1,1,1,49,0,0,1,89,1,"f",100
"2275",9415562,"f","Rainier Valley",47.5776419234508,-122.28919960382,"House","Private room",1,1,1,1,55,100,15,1,365,0,"f",96
